id;name;category;purchase_price;purchase_unit;usage_unit;conversion_factor;yield_percentage;current_price;status
445;Cusanos Quesito Lg Ind;Bakery;33.08;case;unit;12.0;100;33.08;active
446;Coppa Gelato Cafe;Gelato;29.17;case;unit;6.0;100;29.17;active
447;Coppa Gelato Spagnola;Gelato;29.17;case;unit;6.0;100;29.17;active
448;Coppa Gelato Pistachio;Gelato;29.17;case;unit;6.0;100;29.17;active
449;Croissant Cream Filled;Bakery;56.87;case;unit;50.0;100;56.87;active
450;Turnover Apple;Bakery;70.73;case;unit;48.0;100;70.73;active
451;Caramel Pecan Bar;Bakery;60.29;case;unit;21.0;100;60.29;active
452;Mini Bomboloni Cocoa & Hazelnut;Bakery;63.64;case;unit;104.0;100;63.64;active
453;Muffin Pistacchio;Bakery;33.73;case;none;0.0;0;33.73;inactive
454;Croissant Curved Butter;Bakery;68.97;case;none;0.0;0;68.97;inactive
455;Danish Raspberry Cheesecake;Bakery;102.07;case;unit;84.0;100;102.07;active
456;Just Baked Muffin Blueberry;Bakery;35.82;bag x 18 units;unit;18.0;100;35.82;active
457;A'siciliana Limonata Soda Can;Beverages;31.2;case;none;0.0;0;31.2;inactive
458;Cake - Tres Leches;TOI - Bindi;33.34;case;none;0.0;0;33.34;inactive
459;Bagel - Everything;Bakery;27.0;case;none;0.0;0;27.0;inactive
460;Bagel - Plain;Bakery;18.0;case;none;0.0;0;18.0;inactive
461;Cake - Lemon Pound;Bakery;7.47;case;none;0.0;0;7.47;inactive
462;Cake Original Crumb;Bakery;9.16;case x 4 units;unit;4.0;100;9.16;active
463;Cake Plain Pound;Bakery;4.98;case x 2 units;unit;2.0;100;4.98;active
464;Cinnamon Bunn;Bakery;27.48;case;none;0.0;0;27.48;inactive
465;Cookies Black and White;Bakery;8.37;case x 3 units;unit;3.0;100;8.37;active
466;Danish - Apple;Bakery;6.87;case;none;0.0;0;6.87;inactive
467;Danish Blueberry;Bakery;6.87;case x 3 units;unit;3.0;100;6.87;active
468;Danish - Cheese;Bakery;27.48;case;none;0.0;0;27.48;inactive
469;Danish - Cherry;Bakery;13.74;case;none;0.0;0;13.74;inactive
470;Danish Raspberry;Bakery;9.16;case x 4 units;unit;4.0;100;9.16;active
471;Scone - Blueberry;Bakery;5.38;case;none;0.0;0;5.38;inactive
472;Scone Chocolate Chip Scone;Bakery;5.38;case x 2 units;unit;2.0;100;5.38;active
473;Turnover Apple;Bakery;4.58;case x 2 units;unit;2.0;100;4.58;active
499;Cake - Carrot;Bakery - Bindi (TOI);48.1;case;none;0.0;0;48.1;inactive
500;Cake - Chocolate Temptation;Bakery - Bindi (TOI);44.81;case;none;0.0;0;44.81;inactive
501;Cake - Mixed Berry Tart;Bakery - Bindi (TOI);45.24;case;none;0.0;0;45.24;inactive
502;Cake - Raspberry Passionfruit;Bakery - Bindi (TOI);41.75;case;none;0.0;0;41.75;inactive
503;Cake - Ricotta and Pistachio;Bakery - Bindi (TOI);40.93;case;none;0.0;0;40.93;inactive
504;Croissant - Almond;Bakery;56.63;case;none;0.0;0;56.63;inactive
505;Mini Cheesecake - Alle Fragole;Bakery - Bindi (TOI);54.64;piece;none;0.0;0;54.64;inactive
506;Artic Vibe;Beverages;28.75;case;none;0.0;0;28.75;inactive
507;Orange;Beverages;28.75;case;none;0.0;0;28.75;inactive
508;Tropical Vibe;Beverages;28.75;case;none;0.0;0;28.75;inactive
509;Bagel - Everything Slcd;Bakery;11.45;case;none;0.0;0;11.45;inactive
510;Bagel - Plain Slcd;Bakery;10.82;case;none;0.0;0;10.82;inactive
511;Cinnamon Bun;Bakery;12.78;case;none;0.0;0;12.78;inactive
512;Cinnamon Bun Pecan Sticky;Bakery;12.69;case x 6 units;unit;6.0;100;12.69;active
513;Cinnamon Bun with Icing;Bakery;9.73;tray x 6 units;unit;6.0;100;9.73;active
514;Croissant - Almond Filled;Bakery;10.21;tray;none;0.0;0;10.21;inactive
515;Croissant - Almond. Mini;Bakery;12.76;case;none;0.0;0;12.76;inactive
516;Croissant Chocolate;Bakery;10.32;case;none;0.0;0;10.32;inactive
517;Danish - Twist Apple Filling;Bakery;10.74;case;none;0.0;0;10.74;inactive
518;Danish - Twist W/ Cheese Filling;Bakery;10.21;case;none;0.0;0;10.21;inactive
519;Danish Twist - Cherry;Bakery;10.74;case;none;0.0;0;10.74;inactive
520;Macaron - Raspberry;Bakery;25.95;case;none;0.0;0;25.95;inactive
521;Macaron - Strawberry;Bakery;25.95;case;none;0.0;0;25.95;inactive
522;Macaron / Chocolate;Bakery;25.95;case;none;0.0;0;25.95;inactive
523;Macaron / Pistachio;Bakery;26.0;case;none;0.0;0;26.0;inactive
524;Macaron / Spring Assortment;Bakery;30.07;case;none;0.0;0;30.07;inactive
525;Macaron / Vainilla;Bakery;25.95;case;none;0.0;0;25.95;inactive
526;Macaron Sea Salt Caramel;Bakery;25.95;case;none;0.0;0;25.95;inactive
527;Muffin - Banana Nut;Bakery;14.94;tray;none;0.0;0;14.94;inactive
528;Muffin - Double Chocolate;Bakery;14.94;tray;none;0.0;0;14.94;inactive
529;Scones - Blueberry Triangle;Bakery;21.81;tray;none;0.0;0;21.81;inactive
530;Two Cup Carrier;Cups / Paper / Disposables;200.0;case;none;0.0;0;200.0;inactive
531;Die Cut Paper Bag Large;Cups / Paper / Disposables;452.0;case;none;0.0;0;452.0;inactive
532;Die Cut Paper Bag Small;Cups / Paper / Disposables;298.0;case;none;0.0;0;298.0;inactive
533;Die Cut Paper Bag Medium;Cups / Paper / Disposables;372.0;case;none;0.0;0;372.0;inactive
534;Dome Lid For Bowl;Cups / Paper / Disposables;55.0;case;none;0.0;0;55.0;inactive
535;Dome Lids For 12. 16 . 20 .;Cups / Paper / Disposables;95.0;case;none;0.0;0;95.0;inactive
536;Dome Lids For;Cups / Paper / Disposables;129.0;case;none;0.0;0;129.0;inactive
537;Two Cup Carrier;Cups / Paper / Disposables;180.0;case;none;1;0;180.0;active
538;Lotus - 1 Oz Dispenser Pump;Racks & Accesories;3.0;each;none;1;0;3.0;active
539;Lotus - 3 Bottle Rack;Racks & Accesories;29.99;piece;none;1;0;29.99;active
540;Blue Raspberry Fruit Fussion;Other;19.0;bottle;none;0.0;0;19.0;inactive
541;Mango Passion Fruit Fussion;Other;19.0;bottle;none;0.0;0;19.0;inactive
542;Orange Creamsicle Ff;Other;19.0;bottle;none;0.0;0;19.0;inactive
543;Pina Colada Fruit Fussion;Other;19.0;bottle;none;0.0;0;19.0;inactive
544;Strawberry Fruit Fussion;Other;19.0;bottle;none;0.0;0;19.0;inactive
545;White Plant Power Concentrate;Other;29.71;bottle;none;0.0;0;29.71;inactive
546;White Plant Power Zero Sugar Concentrate;Other;29.71;bottle;none;0.0;0;29.71;inactive
547;Vainilla - Sugar Free -Syrup;Syrups & Sauces - (Monin + Ghirardelli);39.84;piece;none;0.0;0;39.84;inactive
548;Vainilla Syrup;Syrups & Sauces - (Monin + Ghirardelli);33.55;piece;none;0.0;0;33.55;inactive
549;Cheesecake Dulce de Leche;Bakery - Bindi (TOI);41.39;case;none;0.0;0;41.39;inactive
550;Pinsa Classica 12 X 8;Bakery;88.37;case;none;0.0;0;88.37;inactive
551;Croissant - Large Butter;Bakery;61.78;case;none;0.0;0;61.78;inactive
552;Danish - Guava;Bakery;49.99;case;none;0.0;0;49.99;inactive
553;Danish - Leek and Parmesan Bistro;Bakery;68.99;case;none;0.0;0;68.99;inactive
554;Danish - Lemon;Bakery;90.99;case;none;0.0;0;90.99;inactive
555;Danish - Spinach and Feta RTB;Bakery;74.59;case;none;0.0;0;74.59;inactive
556;Danish Strawberry Cheese;Bakery;116.93;case;none;0.0;0;116.93;inactive
557;Danish Tomato and Olive RTB;Bakery;74.59;case;none;0.0;0;74.59;inactive
558;Croissant Doughnut;Bakery;105.67;case;none;0.0;0;105.67;inactive
559;Almond Barista Specialty Milk;Specialty Milks;31.11;case;none;0.0;0;31.11;inactive
560;Coconut Barista Specialty Milk;Specialty Milks;31.5;case;none;0.0;0;31.5;inactive
561;Pistachio Milk;Specialty Milks;47.0;case 12 x 32 oz;fl oz;383.9;100;47.0;active
562;Soy Milk;Specialty Milks;28.0;case 12 x 32 oz;fl oz;383.9;100;28.0;active
563;Bombay Chai Black Tea / 20 Ct;Other;32.4;box;none;0.0;0;32.4;inactive
564;British Breakfast Black Tea / 20 Ct;Other;32.4;box;none;0.0;0;32.4;inactive
565;Cape Town Honeybush Caramel Herbal Tea / 20 Ct;Other;32.4;box;none;0.0;0;32.4;inactive
566;Danish Rhubarb and Rose Milky Oolong Tea / 20 Ct;Other;32.4;box;none;0.0;0;32.4;inactive
567;German Chamomile and Lemon Balm / 20 Ct;Other;32.4;box;none;0.0;0;32.4;inactive
568;Hemp Ginger and Chicory Herbal Tea / 20 Ct;Other;32.4;box;none;0.0;0;32.4;inactive
569;Mexican Hibiscus Mango and Moringa Fruit Infusion / 20 Ct;Other;32.36;box;none;0.0;0;32.36;inactive
570;Mango & Thai Basil;Beverages;27.06;case 12 x 12 oz;unit;12.0;100;27.06;active
571;Apple X 250 Ml - 8.45 Fl. Oz.;Beverages;36.86;case;none;0.0;0;36.86;inactive
572;Eclair - Coffee;Bakery - Bindi (TOI);28.49;case;none;0.0;0;28.49;inactive
573;Perfect Chocolatine;Bakery;58.19;case;unit;60.0;100;58.19;active
574;Bagel - Everything Sliced;Bakery;9.31;case;none;0.0;0;9.31;inactive
575;Bagel - New Yorker;Bakery;17.22;case;none;0.0;0;17.22;inactive
576;Bagel - Plain Sliced;Bakery;9.31;case;none;0.0;0;9.31;inactive
577;Muffin - Banana Nut Tulip Cup Lg;Bakery;21.12;case;none;0.0;0;21.12;inactive
578;Muffin - Chocolate Chip Tulip Cup Lg;Bakery;21.83;case;none;0.0;0;21.83;inactive
579;Scones - Blueberry;Bakery;25.85;case;none;0.0;0;25.85;inactive
580;Croissant - Apricot;Bakery;53.02;case;none;0.0;0;53.02;inactive
581;French Macaron - Assorted *Special Order*;Bakery - Bindi (TOI);161.28;case;none;0.0;0;161.28;inactive
582;Cheesecake - Brownie Ind. Wrap;Bakery - Bindi (TOI);53.41;case;none;0.0;0;53.41;inactive
583;Muffin Cocoa;Bakery;33.73;case;none;0.0;0;33.73;inactive
584;Muffin Pistacchio;Bakery;33.73;case;none;0.0;0;33.73;inactive
585;Cinnamon Bun Brioche RTB;Bakery;58.7;case;none;0.0;0;58.7;inactive
586;Croissant Curved Butter;Bakery;68.97;case;none;0.0;0;68.97;inactive
587;Bagel - Everything;Bakery;44.95;case;none;0.0;0;44.95;inactive
588;Bagel - Plain;Bakery;42.95;case;none;0.0;0;42.95;inactive
589;Egg Miscellaneous Sous-vide Prosciutto Gruyere Bite;Protein RTE;32.69;case;unit;12.0;100;32.69;inactive
590;Cheese - Mozzarella Fresh;Dairy Products;47.99;case;none;0.0;0;47.99;inactive
591;Oil Olive;Ingredients;59.95;case;fl oz;127.0;100;59.95;active
592;Bagels Plain Sliced Thaw and Serve 4 Oz Sleeved;Bakery;50.99;case;none;383991784.0;0;50.99;inactive
593;Croissants - Mini Butter;Bakery;77.59;case;none;1610459378.0;0;77.59;inactive
594;Cheese - Blue Cheese Crumbles;Dairy Products;37.75;case;none;144013826.0;0;37.75;inactive
595;Cheese - Cheddar - Sharp Sliced;Dairy Products;41.79;case;none;0.0;0;41.79;inactive
596;Cheese - Mozzarella Part Skim Sliced;Dairy Products;44.95;case;none;0.0;0;44.95;inactive
597;Pickle Dill Sliced 1/8 Inch Smooth Cut 650 Count;Ingredients;12.3;case;none;0.0;0;12.3;inactive
598;Granola - Honey Oat - Gluten-free;Ingredients;19.49;case;none;0.0;0;19.49;inactive
599;Chicken Breast Strips with Grill Marks;Protein RTE;56.75;case;none;0.0;0;56.75;inactive
600;Danish - Apple Butter RTB;Bakery;92.21;case;none;0.0;0;92.21;inactive
601;Danish - Maple Pecan;Bakery;59.99;case;none;0.0;0;59.99;inactive
602;Margherita Bistro;Bakery;77.22;case;unit;36.0;100;77.22;active
603;Ham Prosciutto Sliced;Protein RTE;50.65;case;none;0.0;0;50.65;inactive
604;Turkey Sausage Patties Fully-cooked;Protein RTE;54.45;case;none;0.0;0;54.45;inactive
605;Milk Oat Barista;Specialty Milks;31.5;case;fl oz;384.0;100;31.5;active
606;Guacamole Fresh Pico Blend Packaged;Ingredients;51.69;case;oz;191.9;100;51.69;active
607;Sunset Orange Liqua-gel Food Coloring;Ingredients;10.49;Unit;none;0.0;0;10.49;inactive
608;Wiper Towel Pink Diamond 11.5 X 24 Dry;Cleaning Supplies;39.99;case;unit;200.0;100;39.99;active
609;Sauce Hot Portion Control;Ingredients;15.99;case;unit;200.0;100;15.99;active
610;Balsamic Glaze;Ingredients;45.43;case;fl oz;105.0;100;45.43;active
611;Muffin Blueberry Thaw N Serve;Bakery;19.39;case;unit;12.0;100;19.39;active
612;Muffin Cranberry Orange Thaw & Serve;Bakery;17.45;case;unit;12.0;100;17.45;active
613;Sugar Packet Cane;Ingredients;44.69;case;unit;2000.0;100;44.69;active
614;Popping Boba - Lychee;Ingredients;26.49;Unit;none;0.0;0;26.49;inactive
615;Coconut Jelly;Ingredients;26.49;unit;oz;141.1;100;26.49;active
616;Sauce Pump 0.50 Oz. For 64 Oz. Bottles;Racks & Accesories;10.0;each;none;0.0;0;10.0;inactive
617;Sweet Ground Chocolate & Cocoa Powder;Other;20.21;canister x 3 lb;oz;48.0;100;20.21;active
618;2 Tier 64 Oz. Flavoring Sauce Rack;Racks & Accesories;36.97;each;none;0.0;0;36.97;inactive
619;3 Tier 64 Oz. Flavoring Sauce Rack;Racks & Accesories;41.0;each;none;0.0;0;41.0;inactive
620;Sweet Ground Chocolate & Cocoa Powder;Other;20.21;canister x 3 lb;oz;18.0;100;20.21;active
621;Pistachios Roasted Chopped.;Ingredients;47.8;case x 1 kg;oz;35.2;100;47.8;active
622;Honey Pure Clover Grade a True Source Certifie;Ingredients;55.14;case 12 x 12 oz;fl oz;144.0;100;55.14;active
623;Tomato Roma Jumbo Fresh;Produce;26.04;case x 25 lb;slice;380.0;100;26.04;active
624;Turkey Patties Sausage;Protein RTE;65.99;case;none;0.0;0;65.99;inactive
625;Biscoff Creamy Cookie Butter;Ingredients;17.49;Unit;none;1;0;17.49;active
626;Hazelnut - Sugar Free Syrup;Syrups & Sauces - (Monin + Ghirardelli);7.0;bottle;none;0.0;0;7.0;inactive
627;Syrup (0.25 Oz.) Pump For 750 Ml Bottles;Racks & Accesories;2.46;each;none;0.0;0;2.46;inactive
628;Syrup Pump (0.25 Oz.) For 750 Ml Bottles;Racks & Accesories;2.5;each;none;0.0;0;2.5;inactive
629;Cookie Crumbs;Ingredients;149.91;case x 25 lb;oz;399.9;100;149.91;active
630;Spread Chocolate Hazelnut;Waffle;67.21;case 2 x 6.6 lb;oz;211.1;100;67.21;active
631;Yogurt Plain Greek Non-fat;Dairy Products;46.95;case;none;0.0;0;46.95;inactive
632;Egg Patty Fully Cooked;Protein RTE;44.79;case;none;0.0;0;44.79;inactive
633;Dough Roll Cinnamon Twirl;Bakery;98.65;case x 100 units;unit;100.0;100;98.65;active
634;Salmon Atlantic Smoked Sliced Fillet USA;Protein RTE;84.25;case;none;0.0;0;84.25;inactive
635;Sugar Turbinado;Ingredients;34.62;case 1200 x 4.5 g;unit;1200.0;100;34.62;active
636;Sugar Substitute Packet Yellow;Ingredients;36.79;case x 2000 units;unit;2000.0;100;36.79;active
637;Film Pvc Chloride Roll 2000 Feet Slide Cutter;Cleaning Supplies;20.57;case;none;0.0;0;20.57;inactive
638;Glove Nitrile Foodservice Powder-free Black Large;Cleaning Supplies;84.75;case;none;0.0;0;84.75;inactive
639;Glove Nitrile Foodservice Powder-free Black Medium;Cleaning Supplies;84.75;case;none;0.0;0;84.75;inactive
640;Liner Trash 24 Inch X 32 Inch 0.35 Mil Black Linear Low-density Polyethylene;Cleaning Supplies;33.65;case;none;0.0;0;33.65;inactive
641;Liner Trash 38 Inch X 58 Inch 0.9 Mil Black Linear Low-density Polyethylene;Cleaning Supplies;46.95;case;none;0.0;0;46.95;inactive
642;Cinnamon Ground;Ingredients;10.23;case;none;1;0;10.23;active
643;Turkey Burger Savory White;Protein RTE;64.85;case;none;0.0;0;64.85;inactive
644;Pad Scour Green 6 X 9 Antimicrobial;Cleaning Supplies;13.65;case;none;1;0;13.65;active
645;Egg Bite Wtny Chs Canadian Bcn;Protein RTE;36.06;case;none;0.0;0;36.06;inactive
646;Coconut Flake Sweetened;Ingredients;40.84;case;none;0.0;0;40.84;inactive
647;Cream Heavy 40%;Dairy Products;50.87;case;none;0.0;0;50.87;inactive
648;Creamer Half & Half;Dairy Products;56.89;case 12 x 32 oz;oz;384.0;100;56.89;active
649;Creamer Half and Half Portion Control Aseptic;Dairy Products;31.85;case x 384 units;unit;384.0;100;31.85;active
650;Milk No fat;Dairy Products;13.99;case 25 x 8 oz;oz;200.0;100;13.99;active
651;Limonata Soda Can;resale_beverage;31.2;case;None;24.0;100;31.2;inactive
652;Mandarin Soda Can;Beverages;31.2;case;unit;24.0;100;31.2;active
653;Cake Tres Leches;Bakery - Bindi (TOI);33.34;case;none;0.0;0;33.34;inactive
654;Bagel - Everything;Bakery;27.0;case;none;0.0;0;27.0;inactive
655;Bagel - Plain;Bakery;18.0;case;none;0.0;0;18.0;inactive
656;Lemon Pound;Bakery;7.47;case x 3 units;unit;3.0;100;7.47;active
657;Cinnamon Bunn;Bakery;27.48;case;none;0.0;0;27.48;inactive
658;Danish - Apple;Bakery;6.87;case;none;0.0;0;6.87;inactive
659;Danish - Cheese;Bakery;27.48;case;none;0.0;0;27.48;inactive
660;Danish - Cherry;Bakery;13.74;case;none;0.0;0;13.74;inactive
661;Scone - Blueberry;Bakery;5.38;case;none;0.0;0;5.38;inactive
